撑 撐 撐
称 稱 稱
城 城 峸
橙 橙 橙
成 成 荿
呈 呈 珵
乘 乘 塖
程 程 珵
惩 懲 懲
澄 澄 僜
诚 誠 諴
承 承 承
逞 逞 浧
骋 騁 骋
秤 秤 秤
吃 吃 阣
痴 癡 痴
持 持 歭
匙 匙 匙
池 池 肔
迟 遲 呎
弛 弛 肔
驰 馳 肔
耻 恥 恥
齿 齒 歯
侈 侈 侈
尺 尺 呎
赤 赤 哧
翅 翅 趐
斥 斥 斥
炽 熾 炽
充 充 茺
冲 沖 沖
虫 蟲 蟲
崇 崇 漴
宠 寵 寵
抽 抽 菗
酬 酬 絒
畴 疇 帱
踌 躊 帱
稠 稠 婤
愁 愁 僽
筹 籌 薵
仇 仇 仇
绸 綢 皗
瞅 瞅 瞅
丑 醜 忸
臭 臭 溴
初 初 初
出 出 炪
橱 櫥 廚
厨 廚 廚
躇 躇 躇
锄 鋤 鋤
雏 雛 雛
滁 滁 蒢
除 除 篨
楚 楚 椘
础 礎 绌
储 儲 储
矗 矗 矗
搐 搐 搐
触 觸 触
处 處 處
揣 揣 遄
川 川 巛
穿 穿 瑏
椽 椽 椽
传 傳 伝
船 船 船
喘 喘 遄
串 串 賗
疮 瘡 疮
窗 窗 囱
幢 幢 幢
床 床 床
闯 闖 闖
创 創 創
吹 吹 欥
炊 炊 炊
捶 捶 腄
锤 錘 腄
垂 垂 箠
春 春 舂
椿 椿 椿
醇 醇 錞
唇 唇 脣
淳 淳 錞
纯 純 蒓
蠢 蠢 蠢
戳 戳 戥
绰 綽 焯
疵 疵 疵
茨 茨 垐
磁 磁 濨
雌 雌 雌
辞 辭 辭
慈 慈 濨
瓷 瓷 瓷
词 詞 詞
此 此 泚
刺 刺 剌
赐 賜 賜
次 次 佽
聪 聰 聪
葱 蔥 茐
囱 囪 囱
匆 匆 茐
从 從 苁
丛 叢 苁
凑 湊 凑
粗 粗 粗
醋 醋 齰
簇 簇 簇
促 促 娖
蹿 躥 蹿
篡 篡 篡
窜 竄 窜
摧 摧 凗
崔 崔 慛
催 催 慛
脆 脆 脆
瘁 瘁 瘁
粹 粹 濢
淬 淬 濢
翠 翠 濢
村 村 籿
存 存 洊
寸 寸 籿
磋 磋 磋
撮 撮 撮
搓 搓 髊
措 措 措
挫 挫 挫
错 錯 措
搭 搭 溚
达 達 垯
答 答 荅
瘩 瘩 瘩
打 打 咑
大 大 汏
呆 呆 槑
歹 歹 歹
傣 傣 傣
戴 戴 瀻
带 帶 帶
殆 殆 殆
代 代 笩
贷 貸 贷
袋 袋 袋
待 待 待
逮 逮 曃
怠 怠 怠
耽 耽 耽
担 擔 泹
丹 丹 冄
单 單 啴
郸 鄲 郸
掸 撣 掸
胆 膽 狚
旦 旦 狚
氮 氮 氮
但 但 泹
惮 憚 惮
淡 淡 惔
诞 誕 诞
弹 彈 弹
蛋 蛋 疍
当 當 當
挡 擋 澢
党 黨 黨
荡 蕩 蕩
档 檔 澢
刀 刀 叨
捣 搗 搗
蹈 蹈 稲
倒 倒 箌
岛 島 島
祷 禱 祷
导 導 导
到 到 菿
稻 稻 稲
悼 悼 悼
道 道 檤
盗 盜 盜
德 德 徳
得 得 嘚
的 的 哋
蹬 蹬 簦
灯 燈 燈
登 登 憕
等 等 等
瞪 瞪 簦
凳 凳 凳
邓 鄧 郰
堤 堤 諟
低 低 彽
滴 滴 嘀
迪 迪 廸
敌 敵 敵
笛 笛 廸
狄 狄 狄
涤 滌 涤
翟 翟 翟
嫡 嫡 嫡
抵 抵 抵
底 底 疧
地 地 哋
蒂 蒂 渧
第 第 苐
帝 帝 渧
弟 弟 弚
递 遞 递
缔 締 缔
颠 顛 颠
掂 掂 掂
滇 滇 滇
碘 碘 碘
点 點 點
典 典 敟
靛 靛 靛
垫 墊 垫
电 電 電
佃 佃 佃
甸 甸 甸
店 店 扂
惦 惦 惦
奠 奠 奠
淀 澱 淀
殿 殿 殿
碉 碉 淍
叼 叼 汈
雕 雕 鵰
凋 凋 蜩
刁 刁 刁
掉 掉 鋽
吊 吊 铞
钓 釣 銱
调 調 蜩
跌 跌 瓞
爹 爹 嗲
碟 碟 渫
蝶 蝶 渫
迭 叠 迭
谍 諜 媟
叠 疊 疉
丁 丁 玎
盯 盯 饤
叮 叮 汀
钉 釘 町
顶 頂 嵿
鼎 鼎 鼎
锭 錠 锭
定 定 萣
订 訂 忊
丢 丟 丟
东 東 崬
冬 冬 笗
董 董 蓳
懂 懂 慬
动 動 憅
栋 棟 崬
侗 侗 侗
恫 恫 恫
冻 凍 岽
洞 洞 狪
兜 兜 兠
抖 抖 鬦
斗 鬥 乧
陡 陡 跿
豆 豆 荳
逗 逗 浢
痘 痘 哣
都 都 嘟
督 督 督
毒 毒 毐
犊 犢 渎
独 獨 獨
读 讀 渎
堵 堵 陼
睹 睹 睹
赌 賭 帾
杜 杜 荰
镀 鍍 镀
肚 肚 肚
度 度 喥
渡 渡 喥
妒 妒 妒
端 端 鍴
短 短 短
锻 鍛 葮
段 段 葮
断 斷 斷
缎 緞 葮
堆 堆 碓
兑 兌 兌
队 隊 隊
对 對 怼
墩 墩 墩
吨 噸 沌
蹲 蹲 壿
敦 敦 敦
顿 頓 頓
囤 囤 囤
钝 鈍 沌
盾 盾 盾
遁 遁 遁
掇 掇 掇
哆 哆 哆
多 多 哆
夺 奪 奪
垛 垛 垛
躲 躲 躱
朵 朵 朶
跺 跺 跺
舵 舵 舵
剁 剁 剁
惰 惰 媠
堕 墮 憜
蛾 蛾 睋
峨 峨 睋
鹅 鵝 鹅
俄 俄 皒
额 額 额
讹 訛 讹
娥 娥 皒
恶 惡 悪
厄 厄 苊
扼 扼 扼
遏 遏 遏
鄂 鄂 鄂
饿 餓 皒
恩 恩 慁
而 而 洏
儿 兒 ル
耳 耳 洱
尔 爾 尒
饵 餌 聶
洱 洱 洱
二 二 ②
贰 貳 贰
发 發 潑
罚 罰 藅
筏 筏 筏
伐 伐 浌
乏 乏 疺
阀 閥 阀
法 法 琺
珐 琺 珐
藩 藩 藩
帆 帆 汎
番 番 畨
翻 翻 飜
樊 樊 樊
矾 礬 矾
钒 釩 钒
繁 繁 瀿
凡 凡 汎
烦 煩 煩
反 反 反
返 返 返
范 範 笵
贩 販 贩
犯 犯 氾
饭 飯 粄
泛 泛 疺
坊 坊 汸
芳 芳 淓
方 方 汸
肪 肪 肪
房 房 房
防 防 汸
妨 妨 妨
仿 仿 汸
访 訪 汸
纺 紡 汸
放 放 倣
菲 菲 婔
非 非 悱
啡 啡 啡
飞 飛 飛
肥 肥 萉
匪 匪 厞
诽 誹 诽
吠 吠 吠
肺 肺 腓
废 廢 廢
沸 沸 沸
费 費 曊
芬 芬 棼
酚 酚 酚
吩 吩 玢
